Web Search interest: dolar; colombia stock exchange; ecopetrol; precio dolar; bolsa de valores colombia
Colombia; 2004 - present

Interest over time
Week,dolar,colombia stock exchange,ecopetrol,precio dolar,bolsa de valores colombia
2004-01-04 - 2004-01-10,0,0,0,0,0
2004-01-11 - 2004-01-17,14,0,0,0,0
2004-01-18 - 2004-01-24,14,0,0,0,0
2004-01-25 - 2004-01-31,15,0,0,0,0
2004-02-01 - 2004-02-07,13,0,7,0,0
2004-02-08 - 2004-02-14,9,0,9,0,0
2004-02-15 - 2004-02-21,16,0,9,0,9
2004-02-22 - 2004-02-28,8,0,11,0,7
2004-02-29 - 2004-03-06,18,0,13,0,7
2004-03-07 - 2004-03-13,16,0,7,0,7
2004-03-14 - 2004-03-20,14,0,7,0,7
2004-03-21 - 2004-03-27,9,0,10,0,7
2004-03-28 - 2004-04-03,9,0,13,0,7
2004-04-04 - 2004-04-10,6,0,9,0,8
2004-04-11 - 2004-04-17,6,0,9,0,10
2004-04-18 - 2004-04-24,6,0,9,0,7
2004-04-25 - 2004-05-01,5,0,6,0,7
2004-05-02 - 2004-05-08,9,0,9,0,7
2004-05-09 - 2004-05-15,14,0,21,0,7
2004-05-16 - 2004-05-22,10,0,16,0,6
2004-05-23 - 2004-05-29,9,0,19,0,6
2004-05-30 - 2004-06-05,8,0,18,0,6
2004-06-06 - 2004-06-12,9,0,9,0,6
2004-06-13 - 2004-06-19,9,0,11,0,0
2004-06-20 - 2004-06-26,9,0,10,0,0
2004-06-27 - 2004-07-03,9,0,11,0,0
2004-07-04 - 2004-07-10,9,0,8,0,0
2004-07-11 - 2004-07-17,10,0,8,0,0
2004-07-18 - 2004-07-24,6,0,9,0,0
2004-07-25 - 2004-07-31,7,0,8,0,0
2004-08-01 - 2004-08-07,8,0,8,0,0
2004-08-08 - 2004-08-14,10,0,14,0,0
2004-08-15 - 2004-08-21,7,0,9,0,0
2004-08-22 - 2004-08-28,13,0,9,0,0
2004-08-29 - 2004-09-04,11,0,9,0,0
2004-09-05 - 2004-09-11,7,0,8,0,5
2004-09-12 - 2004-09-18,13,0,10,0,5
2004-09-19 - 2004-09-25,10,0,11,0,5
2004-09-26 - 2004-10-02,11,0,7,0,5
2004-10-03 - 2004-10-09,9,0,10,0,0
2004-10-10 - 2004-10-16,8,0,9,0,0
2004-10-17 - 2004-10-23,10,0,6,0,0
2004-10-24 - 2004-10-30,7,0,9,0,0
2004-10-31 - 2004-11-06,17,0,9,0,0
2004-11-07 - 2004-11-13,9,0,10,0,0
2004-11-14 - 2004-11-20,10,0,6,0,0
2004-11-21 - 2004-11-27,10,0,8,0,0
2004-11-28 - 2004-12-04,13,0,6,0,0
2004-12-05 - 2004-12-11,8,0,11,0,0
2004-12-12 - 2004-12-18,10,0,0,0,0
2004-12-19 - 2004-12-25,11,0,0,0,0
2004-12-26 - 2005-01-01,12,0,0,0,0
2005-01-02 - 2005-01-08,16,0,0,0,0
2005-01-09 - 2005-01-15,11,0,0,0,0
2005-01-16 - 2005-01-22,10,0,11,0,0
2005-01-23 - 2005-01-29,10,0,18,0,0
2005-01-30 - 2005-02-05,10,0,30,0,5
2005-02-06 - 2005-02-12,8,0,39,0,5
2005-02-13 - 2005-02-19,8,0,32,0,5
2005-02-20 - 2005-02-26,9,0,22,0,6
2005-02-27 - 2005-03-05,8,0,15,0,6
2005-03-06 - 2005-03-12,7,0,12,0,6
2005-03-13 - 2005-03-19,7,0,13,0,7
2005-03-20 - 2005-03-26,7,0,7,0,5
2005-03-27 - 2005-04-02,12,0,9,0,5
2005-04-03 - 2005-04-09,8,0,8,0,3
2005-04-10 - 2005-04-16,9,0,9,0,3
2005-04-17 - 2005-04-23,8,0,8,0,3
2005-04-24 - 2005-04-30,11,0,9,0,3
2005-05-01 - 2005-05-07,9,0,7,0,3
2005-05-08 - 2005-05-14,10,0,8,0,3
2005-05-15 - 2005-05-21,10,0,8,0,3
2005-05-22 - 2005-05-28,6,0,8,0,0
2005-05-29 - 2005-06-04,10,0,7,0,0
2005-06-05 - 2005-06-11,7,0,9,0,0
2005-06-12 - 2005-06-18,8,0,7,0,0
2005-06-19 - 2005-06-25,9,0,8,0,0
2005-06-26 - 2005-07-02,7,0,10,0,0
2005-07-03 - 2005-07-09,12,0,7,0,0
2005-07-10 - 2005-07-16,9,0,7,0,0
2005-07-17 - 2005-07-23,7,0,8,0,0
2005-07-24 - 2005-07-30,7,0,9,0,0
2005-07-31 - 2005-08-06,9,0,7,0,4
2005-08-07 - 2005-08-13,7,0,13,0,5
2005-08-14 - 2005-08-20,12,0,6,0,5
2005-08-21 - 2005-08-27,10,0,8,0,5
