;Last Price;Date
05/05/2014 13:55;1924,5;12:55:00 p. m.
05/05/2014 13:50;1925;12:50:00 p. m.
05/05/2014 13:45;1925,1;12:45:00 p. m.
05/05/2014 13:40;1923,8;12:40:00 p. m.
05/05/2014 13:35;1924,13;12:35:00 p. m.
05/05/2014 13:30;1924,69;12:30:00 p. m.
05/05/2014 13:25;1924,64;12:25:00 p. m.
05/05/2014 13:20;1924,03;12:20:00 p. m.
05/05/2014 13:15;1924,19;12:15:00 p. m.
05/05/2014 13:10;1924,68;12:10:00 p. m.
05/05/2014 13:05;1924,49;12:05:00 p. m.
05/05/2014 13:00;1924,52;12:00:00 p. m.
05/05/2014 12:55;1925,39;11:55:00 a. m.
05/05/2014 12:50;1925;11:50:00 a. m.
05/05/2014 12:45;1924,1;11:45:00 a. m.
05/05/2014 12:40;1924,02;11:40:00 a. m.
05/05/2014 12:35;1924,14;11:35:00 a. m.
05/05/2014 12:30;1924,1;11:30:00 a. m.
05/05/2014 12:25;1923,92;11:25:00 a. m.
05/05/2014 12:20;1923,2;11:20:00 a. m.
05/05/2014 12:15;1923;11:15:00 a. m.
05/05/2014 12:10;1923,29;11:10:00 a. m.
05/05/2014 12:05;1923,32;11:05:00 a. m.
05/05/2014 12:00;1923,59;11:00:00 a. m.
05/05/2014 11:55;1923,2;10:55:00 a. m.
05/05/2014 11:50;1923,38;10:50:00 a. m.
05/05/2014 11:45;1923,48;10:45:00 a. m.
05/05/2014 11:40;1923,4;10:40:00 a. m.
05/05/2014 11:35;1922,3;10:35:00 a. m.
05/05/2014 11:30;1923,38;10:30:00 a. m.
05/05/2014 11:25;1923,66;10:25:00 a. m.
05/05/2014 11:20;1923,07;10:20:00 a. m.
05/05/2014 11:15;1922,4;10:15:00 a. m.
05/05/2014 11:10;1922,49;10:10:00 a. m.
05/05/2014 11:05;1921,97;10:05:00 a. m.
05/05/2014 11:00;1921,4;10:00:00 a. m.
05/05/2014 10:55;1921,9;9:55:00 a. m.
05/05/2014 10:50;1922,3;9:50:00 a. m.
05/05/2014 10:45;1921,38;9:45:00 a. m.
05/05/2014 10:40;1921,36;9:40:00 a. m.
05/05/2014 10:35;1921,3;9:35:00 a. m.
05/05/2014 10:30;1921,3;9:30:00 a. m.
05/05/2014 10:25;1921,67;9:25:00 a. m.
05/05/2014 10:20;1921,1;9:20:00 a. m.
05/05/2014 10:15;1921,64;9:15:00 a. m.
05/05/2014 10:10;1921,91;9:10:00 a. m.
